TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,
"Can I use a placement name instead of a placement ID? And I guess you could have two placements that are the same name. It's pretty rare, but maybe it would be better instead of having a placement ID that you can use the name and we just make a restriction on unique names within a singular namespace, you know.",Placements, API, UPC or Identifier, Namespace (retailer setup),,,,,,,,,,,,,,
"Yeah, makes sense. I think the only other thing is like sometimes I wonder about if we look at this [sharing the API swagger]. Let's have a look here. And I know this API box has worked for some reason, I'm sure I'll figure it out tonight, Dieter. But is there any reason why I can't list the catalog ID and then and array of products [under the listed catalog]?",Guides and support material, API, Business challenge,,,,,,,,,,,,,,,
"OK, but could be like, so I put like my products here and my catalog ID's. In a perfect world, just because we run into this problem very recently. Like I put all my catalog ID's in, and I put in my product codes and then they just go to the catalogs that they're available in.",UPC or Identifier, Catalog (retailer), Products,,,,,,,,,,,,,,,
"Yes. I mean, I would say it's just very specific. It's very specific about what it needs. Whereas if I gave you a list of catalog ID's, right. You know the catalogs I want to have advise on. And then I just gave you a list of product codes. And I guess, probably the use case the other way around where it's like what if I don't want a product to appear in that. What if I don't want to mark [a product] against that particular catalog. Maybe you could be like an exclusion or something, but I think it's a more long way of doing things. I don't know if that's the right word.",Customer needs, Products, Catalog (retailer),,,,,,,,,,,,,,,
"Yeah. Another thing that would be great is if I wanted to do both operations, can I just give you like my campaign ID and what I want to change?",,,,,,,,,,,,,,,,,,
Oh really?,,,,,,,,,,,,,,,,,,
OK. Yeah.,,,,,,,,,,,,,,,,,,
Oh that'd be great. That's very helpful. That's excellent. It's good to know.,,,,,,,,,,,,,,,,,,
Pardon.,,,,,,,,,,,,,,,,,,
"Yeah, no worries. That makes sense.",,,,,,,,,,,,,,,,,,
"Yeah, yeah, definitely.",,,,,,,,,,,,,,,,,,
