TRANSCRIPTION,TAGS,,,,,,,,,,,,,,,,,,
"Yeah, we don't. That's why I have to change it from time to time to kind of test how much the competitors would be bidding on it. So I think initially, obviously we try a dollar 80 [$1.80]. And then Fairy [competitor product from Proctor & Gamble] came in. They [P&G] probably, I think they used to bid for $15 or something or $10. So we changed it [the max bid] from [$]1.80 to [$]2.35. At one point. We had [$]11, I think, but then we spend way too much, so I put it back. And now we're sitting at [$]4 or [$]5, but this number gets changed probably every couple of weeks.",Business challenge, Bidding, Competitor, Spend, Test & Learn / Experiments, Procter & Gamble (P&G), Manual effort,,,,,,,,,,,,
"The reason behind it was, it's silly. It's just, it was there when I looked at it. And I was just like, just put the random number. But now I realise I could have put Always On. So I'm going to change it now.",Spend, Mental models,,,,,,,,,,,,,,,,,
No.,,,,,,,,,,,,,,,,,,,
"Well, obviously I want to check that everything is in here. We're targeting the right SKU's. The search terms as well, just making sure there's no errors. Strategy, maximum cost per click [CPC], comfortable with that and just making sure it's a search Ad instead of an aisles & category Ad. And I'll just hit update campaign.",Business decision, Ad Types, Campaigns, Categories, CPC (Cost Per Click), Search terms / Keywords, SKU, Routine activity,,,,,,,,,,,
Yeah.,,,,,,,,,,,,,,,,,,,
"I do and I have a feedback for you guys. So I use that a lot and what I realised was that we always go over this limit [monthly Credit Limit of $20,000]. So this month and last month, we both went over this limit and the campaign was paused for a day or two. So I was panicking when I went into Woolworths and obviously it's not showing and I didn't know what's going on. And the reason for that was that we always have [$]60,000 in this credit limit and because of lockdown and like, people spend a lot more online. So we massively went over the budget and I didn't know that I went over the limit. Especially when I know, I think the guys are counting from the 16th to the 15th [day of the month - may be due to how SmartCart bill]. So it's quite hard for us to like see how much we spend from the 15th or 16th because we started from the 1st to the 31st. Like we look at the whole month. So then I have to go into the system and say, oh, we actually went over the budget or maybe I can see it from here [Billing Details screen].",Concern or Worry, Ad serving, Budget, Date or Time related, Spend, Spend Limits / Cap-outs, SmartCart, Woolworths, Difficulty in use, Understanding vague, AdManager,,,,,,,,
"And then I have to message or email SmartCart and ask them to update it [the credit limit]. And then I think they've got a form or something to fill in. So what happened was that I emailed them several times and I was like, I need to change my credit limit because I definitely don't want our campaign to be paused. So I think this is slightly confusing. It's something that I wasn't aware of until a month ago, to be honest, So I don't know why. I guess I know why you have the credit limit. But yes, I think it's a blocker.",Budget, Date or Time related, Spend Limits / Cap-outs, SmartCart, Confusion, Manual effort, Understanding vague,,,,,,,,,,,,
"Yeah, mostly, until two months ago, which is why I never knew. I never check the wallets until two months ago. All of a sudden everything's offline and then I asked him why is that the case? And I think I told you he said to me it's because we went over the monthly limit. So then we change it. But we now have to change it again.",Ad serving, Budget, Search terms / Keywords, Loss of revenue, Understanding vague, AdManager,,,,,,,,,,,,,
"I don't think I do unless I miss anything, really. I don't get an email for sure. I don't think it's in here [Billing Details screen] just that one rejected campaign. Yeah, I don't know. Maybe I'm missing something. I don't get it.",Approvals, UI, Negative feedback, AdManager, Notifications, UI improvements,,,,,,,,,,,,,
"The campaign is not showing. Like all the campaigns went offline. So I emailed SmartCart and asked why. And then he said to me it's because you went over the credit limit. And then I have to go here [Wallets screen] for the first time and say, oh, there's such a thing. Yeah, maybe, I don't know.",Ad serving, Budget, Campaigns, Spend Limits / Cap-outs, SmartCart, Loss of revenue, Negative feedback, Understanding vague,,,,,,,,,,,
"No. I guess yes and no. It's kind of alike, but I don't mind if it is unlimited, to be honest because I know it's kind of safe to put a cap [spend limit for the wallet] in here. But I'd much rather not stop our Ads from running if we hit this limit. I have to change it over and over and over again, especially when I don't get any emails on this.",Concern or Worry, Ad serving, Preference, Spend, Spend Limits / Cap-outs, Manual effort, Notifications,,,,,,,,,,,,
"There's no wallet on Kenshoo [Skai] on Amazon. We have to manually change the budget every month. And you kind of have to trust the system to do its job. I will occasionally go onto Amazon to check that we are on track. But there's no such thing in terms of the credit limit. So it's unlimited basically. And you have to trust the system by looking at historical performance. They sometimes go over a little bit but mostly slightly under. So, you know that it is doing the job.",Budget, Date or Time related, Performance, Spend, Wallets, Routine activity, Amazon, AdManager, Skai (Kenshoo),,,,,,,,,,
"Yeah, I think Kenshoo [Skai] is good. Because we basically just set a budget and then I think we have a target as well. Like a ROI target and we just let it run. I think so far, it's been running really well, instead of me going into the system to change a bid and see what our competitors are doing. They're [Skai] doing everything for us, which is why I said at the very beginning, I think if you guys were to partner with Kenshoo potentially help us a lot. Not just because of the budget management kind of thing or the bid management, but also the reporting. Because I know SmartCart - or I think you guys are slightly better than Coles. I think Kenshoo have a better reporting compared to you guys and then they can do a whole heap of different combined reports to say if I manage three different channel - Coles, Amazon and Woolworths - I could potentially get a combined view of what they're comparing. But in here [AdManager] it's quite basic like compared to Google or any other medium.",Competitor advantage, Budget, Expectations, Future opportunity, Reporting, ROI, SmartCart, Coles, Woolworths, Limitation, Amazon Ads, AdManager, Google, Skai (Kenshoo), Partners,,,,
